    Family  Name    Family_ID   Name_ID
0	Lachnospiraceae	Anaerostipes caccae DSM 14662	NCBITaxon:186803	NCBITaxon:411490
1	Lachnospiraceae	Anaerostipes sp. 3_2_56FAA	NCBITaxon:186803	NCBITaxon:105841
2	Lachnospiraceae	Butyrivibrio crossotus DSM 2876	NCBITaxon:186803	NCBITaxon:511680
3	Lachnospiraceae	Butyrivibrio fibrisolvens 16/4	NCBITaxon:186803	NCBITaxon:657324
4	Lachnospiraceae	Butyrivibrio proteoclasticus B316	NCBITaxon:186803	NCBITaxon:515622
5	Lachnospiraceae	Clostridiales sp. SS3/4	NCBITaxon:186803	not found
6	Lachnospiraceae	Clostridiales sp. SSC/2	NCBITaxon:186803	not found
7	Lachnospiraceae	Coprococcus catus GD/7	NCBITaxon:186803	NCBITaxon:717962
8	Lachnospiraceae	Coprococcus comes ATCC 27758	NCBITaxon:186803	NCBITaxon:470146
9	Lachnospiraceae	Coprococcus eutactus ATCC 27759	NCBITaxon:186803	NCBITaxon:411474
10	Lachnospiraceae	Eubacterium cellulolocolvens 6	NCBITaxon:186803	NCBITaxon:633697
11	Lachnospiraceae	Eubacterium hallii DSM 3353	NCBITaxon:186803	NCBITaxon:411469
12	Lachnospiraceae	Eubacterium rectale ATCC 33656	NCBITaxon:186803	NCBITaxon:515619
13	Lachnospiraceae	Eubacterium rectale DSM 17629	NCBITaxon:186803	NCBITaxon:657318
14	Lachnospiraceae	Eubacterium rectale M104/1	NCBITaxon:186803	NCBITaxon:657317
15	Lachnospiraceae	Eubacterium ventriosum ATCC 27560	NCBITaxon:186803	NCBITaxon:411463
16	Lachnospiraceae	Lachnospiraceae bacterium 3_1_57FAA_CT1	NCBITaxon:186803	NCBITaxon:658086
17	Lachnospiraceae	Lachnospiraceae bacterium sp. 5_1_63FAA	NCBITaxon:186803	NCBITaxon:658089
18	Lachnospiraceae	Lachnospiraceae sp. F0167	NCBITaxon:186803	NCBITaxon:575593
19	Lachnospiraceae	Roseburia intestinalis L1-82	NCBITaxon:186803	NCBITaxon:536231
20	Lachnospiraceae	Roseburia intestinalis M50/1	NCBITaxon:186803	NCBITaxon:657315
21	Lachnospiraceae	Roseburia intestinalis XB6B4	NCBITaxon:186803	NCBITaxon:718255
22	Lachnospiraceae	Roseburia inulinivorans DSM 16841	NCBITaxon:186803	NCBITaxon:622312
23	Lachnospiraceae	Shuttleworthia satelles DSM 14600	NCBITaxon:186803	NCBITaxon:626523
24	C. Incertae Sedis XI	Anaerococcus hydrogenalis ACS-025-V-Sch4	NCBITaxon:1570339	NCBITaxon:879306
25	C. Incertae Sedis XI	Anaerococcus hydrogenalis DSM 7454	NCBITaxon:1570339	NCBITaxon:561177
26	C. Incertae Sedis XI	Anaerococcus lactolyticus ATCC 51172	NCBITaxon:1570339	NCBITaxon:525254
27	C. Incertae Sedis XI	Anaerococcus prevotii PC 1, DSM 20548	NCBITaxon:1570339	NCBITaxon:525919
28	C. Incertae Sedis XI	Anaerococcus tetradius ATCC 35098	NCBITaxon:1570339	NCBITaxon:525255
29	C. Incertae Sedis XI	Anaerococcus vaginalis ATCC 51170	NCBITaxon:1570339	NCBITaxon:655811
30	C. Incertae Sedis XI	Peptoniphilus duerdenii ATCC BAA-1640	NCBITaxon:1570339	NCBITaxon:862517
31	C. Incertae Sedis XI	Peptoniphilus harei ACS-146-V-Sch2b	NCBITaxon:1570339	NCBITaxon:908338
32	C. Incertae Sedis XI	Peptoniphilus lacrimalis 315-B	NCBITaxon:1570339	NCBITaxon:596330
33	C. Incertae Sedis XI	Peptoniphilus sp. F0131	NCBITaxon:1570339	NCBITaxon:575609
34	C. Incertae Sedis XI	Peptoniphilus sp. F0141	NCBITaxon:1570339	NCBITaxon:575609
35	Peptostreptococcaceae	Alkaliphilus metalliredigens QYMF	NCBITaxon:186804	NCBITaxon:293826
36	Peptostreptococcaceae	Alkaliphilus oremlandii OhILAs	NCBITaxon:186804	NCBITaxon:350688
37	Peptostreptococcaceae	Clostridium difficile 630 (epidemic type X)	NCBITaxon:186804	NCBITaxon:272563
38	Peptostreptococcaceae	Clostridium difficile BI9	NCBITaxon:186804	NCBITaxon:699032
39	Peptostreptococcaceae	Clostridium difficile CD196	NCBITaxon:186804	NCBITaxon:645462
40	Peptostreptococcaceae	Clostridium difficile CIP 107932	NCBITaxon:186804	NCBITaxon:499176
41	Peptostreptococcaceae	Clostridium difficile NAP07	NCBITaxon:186804	NCBITaxon:525258
42	Peptostreptococcaceae	Clostridium difficile NAP08	NCBITaxon:186804	NCBITaxon:525259
43	Peptostreptococcaceae	Clostridium difficile QCD-23m63	NCBITaxon:186804	NCBITaxon:499174
44	Peptostreptococcaceae	Clostridium difficile QCD-32g58	NCBITaxon:186804	NCBITaxon:367459
45	Peptostreptococcaceae	Clostridium difficile QCD-37x79, NAP1a/001	NCBITaxon:186804	NCBITaxon:479834
46	Peptostreptococcaceae	Clostridium difficile QCD-63q42	NCBITaxon:186804	NCBITaxon:479831
47	Peptostreptococcaceae	Clostridium difficile QCD-66c26	NCBITaxon:186804	NCBITaxon:455631
48	Peptostreptococcaceae	Clostridium difficile QCD-76w55, NAP1	NCBITaxon:186804	NCBITaxon:479832
49	Peptostreptococcaceae	Clostridium difficile QCD-97b34, NAP1b/006	NCBITaxon:186804	NCBITaxon:479833
50	Peptostreptococcaceae	Clostridium difficile R20291	NCBITaxon:186804	NCBITaxon:645463
51	Peptostreptococcaceae	Clostridium sticklandii DSM 519	NCBITaxon:186804	NCBITaxon:499177
52	Peptostreptococcaceae	Eubacterium saphenum ATCC 49989	NCBITaxon:186804	NCBITaxon:592031
53	Peptostreptococcaceae	Eubacterium yurii margaretiae ATCC 43715	NCBITaxon:186804	NCBITaxon:864565
