Feature	MeanAbsSHAPValue
EC:1.11.1.6	0.09774422686418352
EC:4.2.-.-	0.060468611836550376
EC:3.1.12.1	0.06002038507528474
EC:2.1.1.63	0.04943398898777839
RHEA:19989	0.048706120632542524
EC:1.8.4.12	0.04798103642829996
EC:4.1.1.50	0.04547891758313138
EC:2.7.1.35	0.04461132035638666
RHEA:16601	0.04403751144661194
RHEA:54288	0.035482998828700534
RHEA:20077	0.03390526145631011
EC:2.1.1.45	0.033662952701298786
EC:2.5.1.16	0.03308031459876247
RHEA:12104	0.03276252689586028
EC:2.7.1.50	0.03183069234525175
EC:5.4.99.9	0.031489016952225043
RHEA:16777	0.03147655408580788
RHEA:24164	0.029244982015731235
RHEA:28490	0.029225689803045737
EC:2.4.2.28	0.029186545116540827
EC:2.7.4.1	0.028999147719941998
EC:3.6.1.22	0.026555491027849088
RHEA:11828	0.02655271720391034
RHEA:18365	0.02610564294425609
RHEA:15981	0.025180104762663812
RHEA:12721	0.024023661629007566
EC:1.5.1.3	0.023249751905048868
RHEA:20309	0.02309701226518494
EC:2.8.1.4	0.022710013383222684
RHEA:19573	0.02075346339723039
EC:2.1.1.37	0.01981703044078103
RHEA:32159	0.019160631866142273
EC:5.1.99.6	0.01907053872595783
EC:3.5.1.28	0.018290874832384722
EC:3.1.1.61	0.018216730298853265
EC:1.9.3.1	0.01813256170413291
EC:5.4.2.11	0.01794250924451356
EC:1.1.1.399	0.017895638830412047
RHEA:18181	0.017826402287521966
EC:3.2.1.-	0.017601720338856732
RHEA:15413	0.017599277918819014
RHEA:46160	0.016984920573034218
RHEA:13245	0.016805079449847864
EC:5.6.2.-	0.016733038116324934
EC:1.11.1.26	0.01596060789147402
EC:4.1.3.17	0.015757956775865757
RHEA:14217	0.01573759376055471
EC:4.1.1.96	0.015512860266536753
EC:1.13.11.63	0.014746814658351742
EC:3.6.1.55	0.014648552891484206
RHEA:18617	0.014624477278848655
RHEA:22060	0.01448975857690579
RHEA:23996	0.014408387851916253
EC:2.4.1.25	0.014240809999856155
EC:1.7.1.7	0.014198554444625266
RHEA:19513	0.014184098926072884
RHEA:44132	0.013868139084241244
EC:5.3.1.23	0.013814868450704416
RHEA:60876	0.013719928756387495
RHEA:30275	0.013518053387146131
EC:2.7.1.-	0.01322469967624936
EC:3.2.2.n1	0.013018330929204357
RHEA:17185	0.012782674689666438
RHEA:19433	0.012615799047106177
RHEA:21264	0.012527909676458003
RHEA:12440	0.012521412992049976
EC:3.4.21.-	0.012417998697297464
EC:3.1.4.58	0.012099647720133878
EC:6.5.1.1	0.011908204870959043
EC:4.2.1.108	0.011750498679848304
RHEA:23236	0.011712032480207147
RHEA:54292	0.01164737685813691
EC:5.4.99.62	0.011572541043168736
EC:3.6.4.13	0.011508516514153157
RHEA:23436	0.01131443619546467
EC:4.2.1.-	0.011176851354748793
RHEA:44644	0.011110504682074317
EC:1.6.5.2	0.010704527772630581
RHEA:17577	0.010319303870013041
RHEA:32887	0.010222772145435679
EC:2.3.2.3	0.010191113417210317
EC:3.2.2.-	0.010105720546115924
EC:1.13.11.2	0.009937641720823318
RHEA:71651	0.009883003280636531
RHEA:64224	0.009797907575884368
RHEA:62372	0.009769108444591208
RHEA:32155	0.009706303812891058
RHEA:18337	0.00959536959715263
EC:6.3.1.20	0.009572869474775127
RHEA:57332	0.009488919868724672
EC:7.2.2.6	0.009379076024584784
EC:3.1.3.25	0.009143628398194596
EC:2.5.1.128	0.009133816910329074
RHEA:14329	0.009025085995201394
RHEA:20888	0.00896744058763116
EC:7.1.1.9	0.008892531112115463
EC:3.1.3.71	0.00885878256180347
EC:3.6.1.11	0.00876262954174962
EC:2.4.-.-	0.00875190217748612
RHEA:15149	0.008732707430722832
EC:5.3.1.8	0.008719035845957934
RHEA:55204	0.008707004608816881
RHEA:28534	0.008586652504165314
RHEA:13501	0.00847938698689885
EC:5.5.1.4	0.008423260174813844
RHEA:16873	0.008325951711941134
EC:2.1.1.190	0.008298452731987645
EC:3.2.1.20	0.008175508665730037
RHEA:42708	0.008078237698637036
RHEA:22108	0.008061615950639976
EC:3.2.1.23	0.008044246531451034
RHEA:43436	0.008033465715222711
RHEA:76159	0.007992420860914763
RHEA:22680	0.007949261660027003
EC:2.7.1.167	0.007926915588962016
RHEA:31575	0.007726563771206066
RHEA:13681	0.007664051517146398
EC:4.2.1.2	0.007599137746703506
RHEA:34099	0.007572009995861471
RHEA:20401	0.007564179524109195
RHEA:11824	0.007398079119663714
EC:3.2.1.52	0.0073567846759211904
RHEA:28406	0.007327659214771653
RHEA:13285	0.007327127239996429
RHEA:11920	0.007326363442140333
RHEA:51224	0.007215405858920622
RHEA:18445	0.007173394840208496
EC:4.2.1.70	0.006993218115605462
RHEA:10240	0.006968367786305492
RHEA:42720	0.006935848142600314
EC:4.1.1.5	0.006886864046488839
EC:2.7.2.1	0.006807657347276928
EC:2.1.1.151	0.006761553830223017
RHEA:10348	0.006747504503215032
EC:3.1.3.15	0.006741525796846752
RHEA:14657	0.006732766278131129
RHEA:23416	0.006576886258934179
RHEA:21208	0.006570595073604554
EC:2.7.8.-	0.006564933897685892
RHEA:16441	0.006498514410972726
EC:2.1.1.14	0.006466501820756924
EC:6.1.1.12	0.00644763967159869
EC:2.1.1.34	0.00641676299681925
RHEA:14969	0.006351801775925446
EC:4.2.1.46	0.006337066276468955
EC:6.1.1.18	0.0062952596656031135
EC:3.4.11.10	0.006188320078217639
EC:2.4.2.12	0.006177462393525118
EC:6.2.1.3	0.006153596092148211
EC:2.8.4.5	0.006153417523770866
RHEA:61444	0.006148362312015109
RHEA:19129	0.006145213909378181
RHEA:13277	0.0061333470512152264
EC:6.3.1.19	0.006114172520250722
EC:3.1.30.-	0.0060417739804090745
RHEA:55872	0.006011005519179999
RHEA:28190	0.005922572723506506
EC:2.3.1.16	0.005898949695360911
RHEA:22432	0.0058985771899716325
EC:2.1.2.5	0.005774916165544327
EC:5.4.99.16	0.005763568000695034
RHEA:62628	0.00573612963276598
RHEA:19169	0.00571149923433132
RHEA:10684	0.005706020444515034
EC:3.5.2.9	0.0056903746133439405
RHEA:14573	0.0056330848498348084
RHEA:27978	0.005631125317067771
RHEA:43384	0.005621285813689947
RHEA:19709	0.005566135083044393
EC:2.5.1.129	0.005531380069735123
RHEA:10748	0.005528876981162943
RHEA:24608	0.005525957476346195
RHEA:16497	0.005518689130643208
RHEA:23888	0.005480731940717074
RHEA:17089	0.0054702418230785635
RHEA:68076	0.005449932847837223
EC:2.7.7.85	0.005426166514041267
RHEA:53396	0.0053648831829304884
RHEA:11064	0.0053614928490049625
RHEA:23444	0.005343850901273506
RHEA:22748	0.005342540200922774
RHEA:54580	0.005337967224292828
RHEA:16913	0.0053289473223685985
EC:1.1.99.14	0.005322288711077618
RHEA:17129	0.00531909746067983
RHEA:36543	0.005301298362277963
RHEA:43084	0.005270584760260703
EC:4.1.1.111	0.005245058682524768
RHEA:14833	0.005173348621514866
EC:5.1.3.9	0.005148167570474094
EC:2.3.1.31	0.005138797721171812
EC:4.1.2.50	0.005107843045052702
RHEA:22608	0.00510167187265191
RHEA:49072	0.005081684969006151
RHEA:14717	0.005025034691183612
EC:1.7.2.1	0.005020111091714022
RHEA:24931	0.0049542532919059495
RHEA:27754	0.004945080899336287
RHEA:36431	0.004933994555950747
RHEA:10668	0.004922062629670655
